Brand,Model,Year,engine model,Engine,Max Power,Seats
Hyundai,Santa Fe SEL Plus 2.4,2019,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,E-Class E 350,2012,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Ford,F-250 XLT SuperCab Super Duty,2008,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,,,
Mercury,Marauder Base,2003,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Transit-350 XLT,2021,275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,,,
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Volkswagen,Arteon SEL R-Line,2022,2.0 Liter TSI,,,
Chevrolet,Suburban 2500 LS,2006,325.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Suburban 1500 LT,2014,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,,,
Mitsubishi,Eclipse GS,2008,162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,Land Cruiser Base,2016,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Genesis,G80 2.5T,2022,2.5L I4 16V PDI DOHC Turbo,,,
Toyota,Tundra SR5 Access Cab,2004,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Maserati,Quattroporte Modena Q4,2023,3.0L V6 24V GDI DOHC Twin Turbo,,,
Audi,RS 5 4.2,2014,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
Nissan,Rogue S,2022,1.5L I3 12V GDI DOHC Turbo,,,
Porsche,Panamera 4S,2010,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,,,
BMW,M440 i xDrive,2021,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Cadillac,Escalade Premium,2010,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,,,
Volvo,S60 T6 Momentum,2020,2.0L I4 16V GDI DOHC,,,
Mazda,CX-9 Touring Plus,2023,2.5L I4 16V GDI DOHC Turbo,,,
Chrysler,Pacifica Hybrid Touring L,2022,3.6L V6 24V MPFI DOHC Hybrid,,,
Jeep,Wrangler Unlimited Sport,2020,2.0L I4 16V GDI DOHC Turbo,,,
Toyota,Highlander Base,2001,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Ford,F-150 Lariat,2019,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Discovery Sport S R-Dynamic,2022,2.0 Liter,,,
Mazda,Mazda6 Touring,2020,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Kia,Optima EX,2015,192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Lexus,RX 350 Base,2009,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Mitsubishi,Outlander Sport 2.4 SE,2016,2.4L I4 16V MPFI DOHC,,,
Mercedes-Benz,GLS 450 Base 4MATIC,2017,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Audi,A3 2.0T Premium,2019,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Audi,A4 2.0T Premium,2015,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,,,
Mercedes-Benz,CLA-Class CLA 250,2016,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
INFINITI,FX50 Base,2011,390.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Kia,K5 EX,2021,1.6L I4 16V GDI DOHC Turbo,,,
BMW,X5 eDrive xDrive40e,2018,313.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,,,
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,192.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler SE,2003,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Kia,Telluride SX,2020,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover LR4 Lux,2012,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Jaguar,XKR Base,2007,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
BMW,M4 Base,2020,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
BMW,M340 i xDrive,2022,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Mercedes-Benz,AMG GLE 53 AMG GLE 53,2021,3.0 Liter Turbo,,,
RAM,1500 Laramie,2022,5.7L V8 16V MPFI OHV,,,
BMW,ALPINA B7 Base,2013,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class C280 4MATIC,2007,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Compass High Altitude,2017,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,Highlander Hybrid XLE,2019,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,,,
BMW,X5 M Base,2022,4.4L V8 32V GDI DOHC Twin Turbo,,,
BMW,M3 Base,2023,3.0L I6 24V GDI DOHC Twin Turbo,,,
BMW,M3 Base,1999,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,,,
Maserati,Quattroporte S Q4 GranLusso,2018,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Acura,RDX Advance Package,2021,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GLA-Class GLA 250 4MATIC,2015,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,Sprinter 3500XD High Roof,2021,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,,,
Cadillac,XTS Luxury,2014,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 2LT,2015,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayenne S,2013,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,,,
Dodge,Magnum R/T,2005,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
INFINITI,Q70 3.7X,2014,330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover SV Autobiography Dynamic SWB,2020,557.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Camry Hybrid Base,2007,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,,,
GMC,Acadia SLT-1,2016,281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Lincoln,Corsair Reserve,2021,2.0L I4 16V GDI DOHC Turbo,,,
RAM,2500 SLT,2017,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,,,
RAM,3500 Laramie,2014,385.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,,,
Mercedes-Benz,GL-Class GL 450 4MATIC,2013,362.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
BMW,M5 Base,2018,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang SVT Cobra,2003,390.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Acura,ILX Premium Package,2022,2.4L I4 16V GDI DOHC,,,
Buick,Rainier CXL,2005,275.0HP 4.2L Straight 6 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade Luxury,2013,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,,,
Mercedes-Benz,S-Class S 560,2018,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX80 Base,2016,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Buick,Encore Preferred,2019,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GLS 450 Base 4MATIC,2019,3.0L V6 24V GDI DOHC Twin Turbo,,,
Jeep,Liberty Limited,2010,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,S-Class S 63 AMG,2011,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,,,
Audi,A8 L 3.0T,2016,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Mazda,CX-30 2.5 S Select Package,2022,186.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Bentley,Continental GT Speed,2009,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,,,
Bentley,Continental GT V8,2022,4.0L V8 32V GDI DOHC Twin Turbo,,,
Bentley,Flying Spur V8,2022,4.0L V8 32V GDI DOHC Twin Turbo,,,
Porsche,911 Carrera 4S,2018,3.0 Liter,,,
Volkswagen,Golf R 4-Door,2016,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Hyundai,Genesis Coupe 3.8 Grand Touring,2011,306.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Ford,F-150 XLT,2018,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Hyundai,Tucson Limited,2020,2.4L I4 16V GDI DOHC,,,
Ford,Mustang V6,2013,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
BMW,435 i,2014,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG G 63 Base,2020,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Dodge,Challenger SRT Hellcat,2020,797.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,Boxster Base,2013,265.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,,,
Porsche,Macan Base,2018,2.0L I4 16V GDI DOHC Turbo,,,
Ford,F-250 XL,2021,6.7L V8 32V DDI OHV Turbo Diesel,,,
Ford,Mustang GT,2010,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Suburban LT,2020,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class C 300 4MATIC,2018,2.0L I4 16V GDI DOHC Turbo,,,
RAM,1500 Classic Warlock,2019,3.6L V6 24V MPFI DOHC Flexible Fuel,,,
Toyota,Sequoia SR5,2023,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,,,
BMW,M5 Base,2018,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Mazda,Mazda3 FWD w/Premium Package,2022,2.5L I4 16V,,,
Nissan,Rogue SL,2016,"2.5L I-4 DOHC, variable valve control, regular unleaded, engine",,,
Audi,A7 3.0T Prestige,2015,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,,,
Genesis,G80 3.8,2020,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Rolls-Royce,Ghost Base,2016,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,,,
BMW,M6 Gran Coupe Base,2019,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang V6,2013,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
BMW,650 i,2009,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,,,
Nissan,Leaf SV PLUS,2023,214.0HP Electric Motor Electric Fuel System,,,
Lincoln,MKC Reserve,2019,2.3L I4 16V GDI DOHC Turbo,,,
Kia,Telluride EX,2022,3.8L V6 24V GDI DOHC,,,
Lincoln,Navigator Reserve,2022,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,S-Class S 550 4MATIC,2015,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Suburban LT,2017,6.0L 8 Cylinder Engine Gasoline Fuel,,,
Audi,A7 55 Premium,2020,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Ford,Mustang EcoBoost Premium,2017,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Cruze LS,2018,153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover HSE SWB,2020,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Land,Rover Defender S,2023,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,650 i,2012,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang Base,2008,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Kia,K5 GT-Line,2022,1.6L I4 16V GDI DOHC Turbo,,,
Mazda,Mazda3 i Touring,2014,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Kia,Stinger GT1,2021,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro ZL1,2023,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG G 63 Base,2017,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Thunderbird Premium,2005,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,,,
Audi,e-tron Prestige,2019,Electric,,,
GMC,Sierra 1500 SLT,2017,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Kia,Telluride LX,2023,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Base,2005,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,650 i,2014,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Nissan,Rogue SL,2017,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
GMC,Acadia Denali,2015,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade Premium Luxury Platinum,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Nissan,GT-R Premium,2010,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Highlander XLE,2018,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
BMW,X7 xDrive40i,2020,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX60 Base,2018,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,IS 250C Base,2010,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,,,
GMC,Sierra 1500 Denali,2019,5.3L V8 16V GDI OHV,,,
Chevrolet,SSR Base,2005,6.0L V8 16V MPFI OHV,,,
Dodge,Challenger R/T,2014,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Hyundai,Equus Signature,2016,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Lamborghini,Aventador SVJ Base,2019,759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang GT,2003,260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Audi,e-tron Premium,2021,Electric,,,
Toyota,Sequoia Limited,2023,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,,,
Land,Rover Range Rover Sport HST MHEV,2020,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Jeep,Grand Cherokee L Limited,2022,3.6L V6 24V MPFI DOHC,,,
Maserati,GranTurismo Sport,2015,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
BMW,M5 Base,2013,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class 4MATIC Sedan,2022,"2L I-4 gasoline direct injection, DOHC, variable valve control,",,,
Land,Rover Range Rover Sport First Edition,2023,4.4 Liter,,,
Ford,F-150 Lariat,2011,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Audi,A4 2.0T Premium,2012,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,540 i xDrive,2019,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
BMW,X6 xDrive35i,2009,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang Base,1998,150.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Sequoia Limited,2012,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover 3.0L Supercharged,2018,5.0 Liter,,,
Audi,Q8 55 Premium Plus,2021,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Subaru,WRX Base,2015,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Suburban LT,2017,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX60 Pure,2020,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayman Base,2011,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX60 Base,2017,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
BMW,M4 Base,2018,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Maserati,MC20 MC20,2022,"Nettuno 3L V-6 port/direct injection, DOHC, variable valve contr",,,
Land,Rover Defender SE,2023,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
BMW,M8 Base,2020,4.4L V8 32V GDI DOHC Twin Turbo,,,
Tesla,Model Y Performance,2020,Electric,,,
Volvo,C40 Recharge Pure Electric Twin Ultimate,2023,402.0HP Electric Motor Electric Fuel System,,,
Mercedes-Benz,SL-Class SL 550,2011,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover P525 HSE SWB,2020,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Escape XLT,2012,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,,,
Lexus,ES 350 Base,2016,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,718 Boxster GTS,2019,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,G-Class G 550,2020,4.0 Liter Twin Turbo,,,
RAM,1500 Big Horn,2022,5.7L V8 16V MPFI OHV,,,
Audi,R8 5.2 V10 performance,2020,5.2L V10 40V PDI DOHC,,,
Mitsubishi,Lancer Evolution IX,2006,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Acura,TL Technology,2013,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,CTS Luxury,2012,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 1SS,2022,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Camry Hybrid LE,2022,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,,,
Ford,Transit-350 XLT,2019,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,RX 450h Base,2012,295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,,,
Jaguar,F-TYPE V6 S,2014,3.0 Liter SC ULEV,,,
Jeep,Wrangler Sahara,2020,3.6 Liter,,,
Porsche,718 Boxster S,2017,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Audi,R8 5.2,2014,525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,,,
Lincoln,MKZ Base,2016,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,S-10 LS Crew Cab,2001,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,G-Class G 550 4MATIC,2021,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,RX 350 RX 350 F SPORT Handling,2022,3.5 Liter DOHC,,,
BMW,750 i xDrive,2019,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 2SS,2016,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Fusion Hybrid SE,2013,2.0L I4 16V MPFI DOHC Hybrid,,,
Hyundai,Santa Cruz 2.5T Limited,2022,2.5L I4 16V PDI DOHC Turbo,,,
Lexus,RX 350 F Sport,2023,2.4L I4 16V PDI DOHC Turbo,,,
Land,Rover Range Rover Evoque S,2020,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Suburban LT,2019,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,718 Spyder Base,2020,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 1LT,2021,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Gladiator Freedom,2021,3.6 Liter,,,
Toyota,Tacoma Double Cab,2007,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
GMC,Yukon Denali Ultimate,2023,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Shelby GT350R Base,2018,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade Premium Luxury Platinum,2021,6.2L V8 16V GDI OHV,,,
Buick,LaCrosse Base,2017,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model X Long Range Plus,2020,534.0HP Electric Motor Electric Fuel System,,,
Mercedes-Benz,E-Class E 300 4MATIC,2017,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Tahoe LT,2017,5.3 Liter,,,
Kia,Telluride EX,2022,3.8L V6 24V GDI DOHC,,,
Toyota,Tundra Hybrid Limited,2023,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,,,
Audi,S8 4.0T quattro,2023,4.0L V8 32V GDI DOHC Twin Turbo,,,
Nissan,Armada Platinum,2018,5.6 Liter,,,
Land,Rover Discovery HSE,2020,3.0 Liter,,,
Kia,Telluride S,2020,3.8L V6 24V GDI DOHC,,,
Lexus,GS 350 F Sport,2020,3.5L V6 24V PDI DOHC,,,
BMW,X6 xDrive40i,2022,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Land,Rover Range Rover P400 SE SWB,2023,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Chevrolet,Silverado 3500 High Country,2015,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,,,
Maserati,Quattroporte Sport GT,2007,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
Dodge,Viper GTC,2017,645.0HP 8.4L 10 Cylinder Engine Gasoline Fuel,,,
Ford,Expedition Limited,2021,3.5L V6 24V PDI DOHC Twin Turbo,,,
Kia,Optima LX,2019,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport SVR,2018,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,RX 450h F SPORT Handling,2021,3.5 Liter DOHC,,,
Lincoln,Town Car Base,2004,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Honda,Civic Si,2012,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Lexus,RX 450h Base,2017,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,,,
RAM,1500 Classic Warlock,2019,3.6L V6 24V MPFI DOHC Flexible Fuel,,,
Tesla,Model Y Long Range,2023,425.0HP Electric Motor Electric Fuel System,,,
Audi,RS 3 2.5T,2023,401.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,,,
Hyundai,Genesis Coupe 3.8 R-Spec,2014,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,Boxster RS 60 Spyder,2008,303.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,,,
Ford,F-250 XLT,2010,6.4L V8 32V DDI OHV Twin Turbo Diesel,,,
Kia,Sorento EX,2016,2.0L I4 16V GDI DOHC Turbo,,,
Nissan,370Z Touring,2009,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Genesis,G70 2.0T,2023,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport Supercharged,2013,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,S-Class S 560 4MATIC,2020,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Bronco Wildtrak Advanced,2023,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,,,
RAM,1500 SLT,2018,305.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,,,
Jeep,Grand Cherokee Laredo,2013,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,,,
Audi,RS 5 4.2,2013,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
Jeep,Grand Cherokee L Overland,2022,3.6L V6 24V MPFI DOHC,,,
Chrysler,Crossfire Limited,2005,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,,,
Audi,S5 4.2 Premium Plus,2011,354.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
Tesla,Model X Base,2023,670.0HP Electric Motor Electric Fuel System,,,
Cadillac,CT4 Luxury,2020,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Maserati,Ghibli S Q4,2014,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Jaguar,F-PACE 25t Premium,2019,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,750 i xDrive,2019,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Acura,TLX V6 Advance,2019,3.5L V6 24V GDI SOHC,,,
GMC,Terrain SLT-1,2015,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
BMW,i3 Base w/Range Extender,2014,170.0HP 0.65L Electric Motor Electric Fuel System,,,
Nissan,Versa 1.8 S,2011,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class C 300 4MATIC,2019,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,Matrix XRS,2003,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
RAM,1500 Limited,2021,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Audi,A5 2.0T Premium,2018,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Lincoln,Navigator Reserve,2019,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Audi,A6 3.2 quattro,2008,255.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Silverado 1500 LT Crew Cab,2006,345.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,S-Class S 560,2019,4.0 Liter,,,
Volvo,XC90 T6 Momentum,2018,2.0L I4 16V GDI DOHC,,,
Toyota,Camry SE,2011,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,Metris Base,2018,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 2LT,2010,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Mazda,MX-5 Miata Grand Touring,2012,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Escape SE,2015,173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,S-Class S 63 AMG,2015,5.5 Liter,,,
Kia,Niro EX,2023,1.6L I4 16V GDI DOHC Hybrid,,,
Porsche,Boxster Base,2010,255.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,,,
Toyota,4Runner Trail,2016,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Hyundai,Kona EV SEL,2019,201.0HP Electric Motor Electric Fuel System,,,
