Brand,Model,Year,Age,Kilometer,Fuel Type,Fuel Type,Engine,Max Power,Transmission,Seats,Price
Maruti,Alto LXi,2011,14,60000,Petrol,Petrol,796 CC,46.3 bhp,Manual,5,180000
Mahindra,Xylo D2,2010,15,255000,Diesel,Diesel,2489 CC,95 bhp,Manual,8,160000
Chevrolet,Optra Magnum 2.0 LT BS3,2008,17,120000,Diesel,Diesel,1991 CC,123.7 bhp,Manual,5,225000
Maruti,Alto 800 LXI,2015,10,49900,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,270000
Tata,Manza Aura Quadrajet BS IV,2012,13,86000,Diesel,Diesel,1248 CC,88.8 bhp,Manual,5,310000
Datsun,GO T BSIV,2015,10,71850,Petrol,Petrol,1198 CC,67 bhp,Manual,5,225000
Fiat,Grande Punto EVO 1.3 Dynamic,2015,10,95000,Diesel,Diesel,1248 CC,75 bhp,Manual,5,300000
Maruti,Swift Dzire VXi,2008,17,70000,Petrol,Petrol,1298 CC,85.8 bhp,Manual,5,250000
Hyundai,EON Sportz,2011,14,35000,Petrol,Petrol,814 CC,55.2 bhp,Manual,5,180000
Maruti,Swift Dzire VXI,2015,10,50000,Petrol,Petrol,1197 CC,83.14 bhp,Manual,5,550000
Mahindra,Bolero XL 10 Seater Non AC,2007,18,120000,Diesel,Diesel,2523 CC,63 bhp,Manual,7,300000
Hyundai,Elantra CRDi SX,2015,10,145000,Diesel,Diesel,1582 CC,126.2 bhp,Manual,5,900000
Mahindra,XUV500 W9 2WD,2018,7,40000,Diesel,Diesel,2179 CC,138 bhp,Manual,7,1530000
Maruti,Baleno Delta 1.3,2015,10,110000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,590000
Maruti,Wagon R LXI DUO BSIII,2008,17,112000,LPG,Other,1061 CC,57.5 bhp,Manual,5,170000
Audi,A3 35 TDI Premium Plus,2017,8,70000,Diesel,Diesel,1968 CC,143 bhp,Automatic,5,2600000
Maruti,Ritz VDi,2016,9,110000,Diesel,Diesel,1248 CC,73.94 bhp,Manual,5,475000
Hyundai,Grand i10 1.2 CRDi Asta,2018,7,29000,Diesel,Diesel,1186 CC,73.97 bhp,Manual,5,700000
Maruti,Wagon R VXI BS IV,2011,14,60000,Petrol,Petrol,998 CC,67.1 bhp,Manual,5,376000
Maruti,800 Std BSII,2004,21,46000,Petrol,Petrol,796 CC,37 bhp,Manual,4,75000
Mahindra,Scorpio VLS AT 2.2 mHAWK,2012,13,120000,Diesel,Diesel,2179 CC,120 bhp,Automatic,8,440000
Maruti,Wagon R VXI Optional,2016,9,80000,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,390000
Toyota,Innova 2.5 VX 7 STR,2012,13,159000,Diesel,Diesel,2494 CC,102 bhp,Manual,7,725000
Mahindra,Bolero 2011-2019 SLE,2012,13,110000,Diesel,Diesel,2523 CC,62.1 bhp,Manual,7,325000
Maruti,Alto LXi,2010,15,75000,Petrol,Petrol,796 CC,46.3 bhp,Manual,5,170000
Maruti,Swift Dzire LDi,2010,15,120000,Diesel,Diesel,1248 CC,73.9 bhp,Manual,5,215000
Honda,City 1.5 V Inspire,2010,15,110000,Petrol,Petrol,1497 CC,118 bhp,Manual,5,350000
Chevrolet,Spark 1.0 LS,2009,16,80000,Petrol,Petrol,995 CC,62 bhp,Manual,5,80000
Hyundai,EON Magna Plus,2012,13,80000,Petrol,Petrol,814 CC,55.2 bhp,Manual,5,195000
Nissan,Sunny Diesel XL,2014,11,71000,Diesel,Diesel,1461 CC,84.8 bhp,Manual,5,335000
Mahindra,XUV500 W6 2WD,2011,14,108000,Diesel,Diesel,2179 CC,140 bhp,Manual,7,475000
Renault,Duster 85PS Diesel RxL,2015,10,75000,Diesel,Diesel,1461 CC,83.8 bhp,Manual,5,484999
Maruti,Ciaz Delta BSIV,2018,7,22000,Petrol,Petrol,1462 CC,103.25 bhp,Manual,5,650000
Audi,Q5 3.0 TDI Quattro,2014,11,76131,Diesel,Diesel,2967 CC,241.4 bhp,Automatic,5,1850000
Hyundai,i20 1.2 Asta,2018,7,30000,Petrol,Petrol,1197 CC,81.83 bhp,Manual,5,700000
Audi,Q7 3.0 TDI Quattro,2014,11,65000,Diesel,Diesel,2967 CC,241.4 bhp,Automatic,7,3000000
Mahindra,Scorpio S3 9 Seater BSIV,2018,7,60000,Diesel,Diesel,2523 CC,75 bhp,Manual,7,900000
Volkswagen,Polo Diesel Highline 1.2L,2013,12,80000,Diesel,Diesel,1199 CC,73.9 bhp,Manual,5,350000
Honda,Accord V6 AT,2005,20,80000,Petrol,Petrol,2997 CC,218 bhp,Automatic,5,285000
Audi,Q7 3.0 TDI Quattro Premium Plus,2012,13,70000,Diesel,Diesel,2967 CC,241.4 bhp,Automatic,7,1850000
Maruti,Vitara Brezza VDi,2017,8,51777,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,750000
Land,Rover Freelander 2 TD4 HSE,2013,12,64788,Diesel,Diesel,2179 CC,115 bhp,Automatic,5,1650000
Honda,Amaze V Petrol BSIV,2018,7,20000,Petrol,Petrol,1199 CC,88.76 bhp,Manual,5,600000
Volkswagen,Polo 2015-2019 1.0 MPI Comfortline,2018,7,19000,Petrol,Petrol,999 CC,75 bhp,Manual,5,565000
Daewoo,Matiz SS,2000,25,46951,Petrol,Petrol,796 CC,53 bhp,Manual,5,86000
Datsun,GO T BSIV,2016,9,19000,Petrol,Petrol,1198 CC,67 bhp,Manual,5,329000
Ford,EcoSport 1.5 TDCi Titanium Plus BSIV,2016,9,50000,Diesel,Diesel,1498 CC,98.59 bhp,Manual,5,650000
Hyundai,Creta 1.6 CRDi SX Option,2015,10,60000,Diesel,Diesel,1582 CC,126.2 bhp,Manual,5,822000
Renault,Duster 110PS Diesel RxL,2013,12,100000,Diesel,Diesel,1461 CC,108.45 bhp,Manual,5,345000
Maruti,Zen LXI,2001,24,10000,Petrol,Petrol,993 CC,60 bhp,Manual,5,30000
Maruti,Swift VDI,2012,13,50000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,330000
Maruti,Wagon R Stingray VXI,2014,11,74537,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,300000
Maruti,SX4 ZXI AT,2009,16,90000,Petrol,Petrol,1586 CC,103.3 bhp,Automatic,5,200000
Chevrolet,Spark 1.0,2010,15,70000,Petrol,Petrol,995 CC,62 bhp,Manual,5,90000
Maruti,Wagon R VXI Minor,2010,15,80000,Petrol,Petrol,1061 CC,67 bhp,Manual,5,200000
Hyundai,Xcent 1.1 CRDi SX,2016,9,35000,Diesel,Diesel,1120 CC,71 bhp,Manual,5,550000
Chevrolet,Beat LT,2015,10,23500,Petrol,Petrol,1199 CC,76.8 bhp,Manual,5,250000
Honda,City i-DTEC VX,2017,8,82000,Diesel,Diesel,1498 CC,97.9 bhp,Manual,5,975000
Toyota,Innova 2.5 G (Diesel) 8 Seater,2014,11,100000,Diesel,Diesel,2494 CC,100.6 bhp,Manual,8,900000
Hyundai,i20 1.2 Spotz,2018,7,15000,Petrol,Petrol,1197 CC,81.83 bhp,Manual,5,610000
Maruti,Baleno Zeta 1.3,2017,8,30000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,620000
Hyundai,Grand i10 Sportz,2016,9,30000,Petrol,Petrol,1197 CC,82 bhp,Manual,5,400000
Maruti,Celerio X ZXI BSIV,2019,6,11000,Petrol,Petrol,998 CC,67 bhp,Manual,5,500000
Datsun,GO Plus T,2017,8,140000,Petrol,Petrol,1198 CC,67.05 bhp,Manual,7,200000
Tata,Zest Quadrajet 1.3 XM,2016,9,110000,Diesel,Diesel,1248 CC,88.7 bhp,Manual,5,360000
Maruti,Alto K10 2010-2014 VXI,2012,13,48000,Petrol,Petrol,998 CC,67.1 bhp,Manual,5,252000
Maruti,Swift VDI,2012,13,70000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,280000
Maruti,Swift VXI 2018,2018,7,70000,Petrol,Petrol,1197 CC,81.80 bhp,Manual,5,509999
Mahindra,Scorpio 1.99 S6 Plus,2016,9,58000,Diesel,Diesel,1997 CC,120 bhp,Manual,7,1050000
Maruti,Wagon R LXI DUO BSIII,2010,15,40000,LPG,Other,1061 CC,57.5 bhp,Manual,5,200000
Maruti,Zen LXI,2005,20,90000,Petrol,Petrol,993 CC,60 bhp,Manual,5,60000
Mahindra,Xylo E8 ABS Airbag,2010,15,40000,Diesel,Diesel,2498 CC,112 bhp,Manual,7,320000
Mahindra,Scorpio LX,2013,12,110000,Diesel,Diesel,2179 CC,120 bhp,Manual,9,520000
Tata,New Safari DICOR 2.2 LX 4x2,2007,18,80000,Diesel,Diesel,2179 CC,138.1 bhp,Manual,7,250000
Maruti,Vitara Brezza ZDi,2017,8,60000,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,725000
Mahindra,Bolero 2011-2019 SLX,2015,10,50000,Diesel,Diesel,2523 CC,62.1 bhp,Manual,7,585000
Tata,Tiago 1.2 Revotron XZ,2017,8,25000,Petrol,Petrol,1199 CC,84 bhp,Manual,5,430000
Maruti,Swift VDI,2011,14,100000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,235000
Maruti,Swift Dzire VDi,2012,13,52000,Diesel,Diesel,1248 CC,73.9 bhp,Manual,5,350000
Hyundai,i10 Era 1.1,2010,15,80000,Petrol,Petrol,1086 CC,68.05 bhp,Manual,5,131000
Honda,Amaze VX i-DTEC,2016,9,85000,Diesel,Diesel,1498 CC,98.6 bhp,Manual,5,450000
Maruti,Vitara Brezza ZDi Plus,2016,9,83000,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,750000
Maruti,Alto 800 LXI,2013,12,50000,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,200000
Maruti,Wagon R LXI Minor,2009,16,120000,Petrol,Petrol,1061 CC,67 bhp,Manual,5,125000
Mahindra,Bolero 2011-2019 SLE,2014,11,100000,Diesel,Diesel,2523 CC,62.1 bhp,Manual,7,500000
Maruti,Swift VDI,2012,13,70000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,380000
Maruti,Alto LXi,2008,17,19000,Petrol,Petrol,796 CC,46.3 bhp,Manual,5,128000
Honda,City 1.5 S MT,2009,16,68600,Petrol,Petrol,1497 CC,118 bhp,Manual,5,250000
Mahindra,Bolero Power Plus SLX,2017,8,60000,Diesel,Diesel,1493 CC,70 bhp,Manual,7,690000
Mahindra,Bolero 2011-2019 SLX,2014,11,65000,Diesel,Diesel,2523 CC,62.1 bhp,Manual,7,650000
Honda,City E,2012,13,40000,Petrol,Petrol,1497 CC,116.3 bhp,Manual,5,560000
Maruti,Celerio VXI,2016,9,25000,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,400000
Maruti,Alto K10 LXI,2012,13,29500,Petrol,Petrol,998 CC,67.1 bhp,Manual,5,200000
Hyundai,Verna VTVT 1.6 SX,2018,7,13887,Petrol,Petrol,1591 CC,121.3 bhp,Manual,5,950000
Maruti,Alto 800 VXI,2016,9,50000,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,300000
Renault,KWID RXL,2016,9,30000,Petrol,Petrol,799 CC,53.3 bhp,Manual,5,315000
Maruti,Alto 800 LXI,2012,13,100000,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,220000
Chevrolet,Aveo 1.4 LS,2011,14,60000,Petrol,Petrol,1399 CC,92.7 bhp,Manual,5,130000
Hyundai,i20 Sportz Option 1.4 CRDi,2016,9,60000,Diesel,Diesel,1396 CC,88.73 bhp,Manual,5,595000
Tata,Indica Vista TDI LS,2011,14,120000,Diesel,Diesel,1405 CC,70 bhp,Manual,5,110000
Ford,EcoSport 1.5 Petrol Ambiente BSIV,2017,8,13500,Petrol,Petrol,1497 CC,121.36 bhp,Manual,5,680000
Fiat,Grande Punto Active (Diesel),2013,12,52000,Diesel,Diesel,1248 CC,75 bhp,Manual,5,280000
Maruti,Baleno Delta 1.2,2017,8,30000,Petrol,Petrol,1197 CC,83.1 bhp,Manual,5,530000
Hyundai,Xcent 1.2 Kappa SX Option,2017,8,14000,Petrol,Petrol,1197 CC,82 bhp,Manual,5,610000
Tata,Aria Pure LX 4x2,2014,11,90000,Diesel,Diesel,2179 CC,147.9 bhp,Manual,7,500000
Tata,Tigor 1.05 Revotorq XM,2018,7,50000,Diesel,Diesel,1047 CC,69 bhp,Manual,5,500000
Mahindra,Xylo D2,2010,15,120000,Diesel,Diesel,2489 CC,95 bhp,Manual,8,250000
Hyundai,EON Magna Plus,2018,7,10000,Petrol,Petrol,814 CC,55.2 bhp,Manual,5,325000
Maruti,Baleno Delta 1.2,2018,7,10000,Petrol,Petrol,1197 CC,83.1 bhp,Manual,5,550000
Maruti,Ciaz 1.4 Alpha,2018,7,25000,Petrol,Petrol,1373 CC,91.1 bhp,Manual,5,720000
Hyundai,Verna VTVT 1.6 SX,2017,8,20000,Petrol,Petrol,1591 CC,121.3 bhp,Manual,5,950000
Maruti,Swift VDI,2013,12,60000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,350000
Hyundai,Grand i10 1.2 Kappa Sportz Option,2018,7,40000,Petrol,Petrol,1197 CC,81.86 bhp,Manual,5,500000
Maruti,Swift Dzire VDi,2012,13,60000,Diesel,Diesel,1248 CC,73.9 bhp,Manual,5,380000
Hyundai,Xcent 1.2 Kappa AT SX Option,2015,10,50000,Petrol,Petrol,1197 CC,82 bhp,Automatic,5,380000
Hyundai,Verna VTVT 1.6 SX,2017,8,20000,Petrol,Petrol,1591 CC,121.3 bhp,Manual,5,900000
Maruti,Alto 800 VXI,2017,8,35000,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,295000
Maruti,Ciaz VDi Plus SHVS,2016,9,40000,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,640000
Tata,Nexon 1.5 Revotorq XZ Plus,2018,7,60000,Diesel,Diesel,1497 CC,108.5 bhp,Manual,5,790000
Hyundai,Verna 1.6 VTVT S Option,2015,10,20000,Petrol,Petrol,1591 CC,121.4 bhp,Manual,5,625000
Ford,EcoSport 1.5 Petrol Trend BSIV,2017,8,30000,Petrol,Petrol,1497 CC,121.36 bhp,Manual,5,604000
Maruti,Alto K10 VXI,2015,10,29000,Petrol,Petrol,998 CC,67.05 bhp,Manual,5,315000
Mahindra,XUV300 W6 Diesel BSIV,2019,6,17000,Diesel,Diesel,1497 CC,115 bhp,Manual,5,950000
Maruti,Wagon R VXI Plus Optional,2017,8,50000,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,400000
Hyundai,i20 1.4 Magna AT,2018,7,42000,Petrol,Petrol,1368 CC,98.63 bhp,Automatic,5,700000
Toyota,Innova 2.5 G (Diesel) 8 Seater BS IV,2011,14,120000,Diesel,Diesel,2494 CC,102 bhp,Manual,8,700000
Mahindra,Verito 1.5 D4 BSIV,2012,13,110000,Diesel,Diesel,1461 CC,65 bhp,Manual,5,260000
Tata,Indigo CR4,2012,13,90000,Diesel,Diesel,1396 CC,70 bhp,Manual,5,200000
Maruti,Dzire VXI,2020,5,70000,Petrol,Petrol,1197 CC,88.50 bhp,Manual,5,580000
Volkswagen,Vento IPL II Diesel Trendline,2011,14,66000,Diesel,Diesel,1598 CC,105 bhp,Manual,5,330000
Hyundai,Verna Transform CRDi VGT SX ABS,2011,14,70000,Diesel,Diesel,1493 CC,110 bhp,Manual,5,400000
Hyundai,Creta 1.6 SX Automatic,2018,7,5000,Petrol,Petrol,1591 CC,121.3 bhp,Automatic,5,1350000
Mahindra,Verito 1.5 D4 BSIV,2014,11,50000,Diesel,Diesel,1461 CC,65 bhp,Manual,5,250000
Skoda,Rapid 1.6 MPI Ambition BSIV,2019,6,25000,Petrol,Petrol,1598 CC,103.2 bhp,Manual,5,725000
Maruti,Swift Dzire Tour LDI,2013,12,70000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,300000
Maruti,800 AC,2006,19,40000,Petrol,Petrol,796 CC,37 bhp,Manual,4,120000
Mahindra,XUV500 W10 2WD,2016,9,110000,Diesel,Diesel,2179 CC,140 bhp,Manual,7,1175000
Tata,New Safari DICOR 2.2 VX 4x4,2009,16,150000,Diesel,Diesel,2179 CC,138 bhp,Manual,7,380000
Tata,Indica Vista TDI LX,2014,11,45000,Diesel,Diesel,1405 CC,70 bhp,Manual,5,400000
Tata,Indigo LX,2005,20,90000,Diesel,Diesel,1405 CC,70 bhp,Manual,5,140000
Tata,New Safari DICOR 2.2 EX 4x2,2011,14,140000,Diesel,Diesel,2179 CC,138.1 bhp,Manual,7,229999
Ford,Ikon 1.3 CLXi,2003,22,83000,Petrol,Petrol,1299 CC,70 bhp,Manual,5,110000
Volkswagen,Jetta 2.0L TDI Highline AT,2011,14,106000,Diesel,Diesel,1968 CC,138.1 bhp,Automatic,5,550000
Chevrolet,Aveo U-VA 1.2 LS,2008,17,60000,Petrol,Petrol,1150 CC,74.9 bhp,Manual,5,150000
Maruti,Omni E MPI STD BS IV,2017,8,40000,Petrol,Petrol,796 CC,34.2 bhp,Manual,8,265000
Hyundai,i20 1.2 Asta,2011,14,138000,Petrol,Petrol,1197 CC,80 bhp,Manual,5,300000
Maruti,Alto 800 LXI,2015,10,80000,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,280000
Hyundai,Getz GLS,2005,20,50000,Petrol,Petrol,1341 CC,83 bhp,Manual,5,130000
Chevrolet,Sail 1.2 LS ABS,2015,10,50000,Petrol,Petrol,1199 CC,82.4 bhp,Manual,5,350000
Maruti,Ritz VXi,2009,16,120000,Petrol,Petrol,1197 CC,85.80 bhp,Manual,5,200000
Maruti,Swift VXI,2018,7,24400,Petrol,Petrol,1197 CC,81.80 bhp,Manual,5,550000
Mahindra,Bolero 2011-2019 SLX,2013,12,60000,Diesel,Diesel,2523 CC,62.1 bhp,Manual,7,400000
Maruti,Ritz VXi (ABS) BS IV,2010,15,120000,Petrol,Petrol,1197 CC,85.80 bhp,Manual,5,170000
Hyundai,Verna 1.4 CRDi,2015,10,60000,Diesel,Diesel,1396 CC,88.7 bhp,Manual,5,600000
Maruti,Alto LXi,2011,14,100000,Petrol,Petrol,796 CC,46.3 bhp,Manual,5,130000
Maruti,800 AC,2011,14,120000,Petrol,Petrol,796 CC,37 bhp,Manual,4,100000
Renault,KWID RXT,2016,9,27500,Petrol,Petrol,799 CC,53.3 bhp,Manual,5,310000
Maruti,800 AC,2007,18,10000,Petrol,Petrol,796 CC,37 bhp,Manual,4,35000
Hyundai,i20 Magna,2010,15,120000,Petrol,Petrol,1197 CC,80 bhp,Manual,5,200000
Hyundai,i20 Sportz 1.4 CRDi,2015,10,80000,Diesel,Diesel,1396 CC,88.73 bhp,Manual,5,650000
Tata,Indigo eCS GLS,2013,12,120000,Petrol,Petrol,1193 CC,64.1 bhp,Manual,5,210000
Hyundai,Xcent 1.1 CRDi S Option,2015,10,90000,Diesel,Diesel,1120 CC,71.01 bhp,Manual,5,509999
Ford,Figo Diesel Celebration Edition,2013,12,70000,Diesel,Diesel,1399 CC,68.1 bhp,Manual,5,229999
Renault,Duster 110PS Diesel RxZ,2014,11,188000,Diesel,Diesel,1461 CC,108.45 bhp,Manual,5,409999
Chevrolet,Spark 1.0 LT,2011,14,67840,Petrol,Petrol,995 CC,62 bhp,Manual,5,130000
Tata,Nano CX,2013,12,30000,Petrol,Petrol,624 CC,37.48 bhp,Manual,4,95000
Maruti,Alto 800 LXI,2016,9,35000,Petrol,Petrol,796 CC,47.3 bhp,Manual,5,225000
Maruti,Vitara Brezza VDi Option,2017,8,100000,Diesel,Diesel,1248 CC,88.5 bhp,Manual,5,775000
Maruti,Wagon R VXI BS IV,2017,8,30000,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,420000
Hyundai,Grand i10 Sportz Celebration Edition,2016,9,70000,Petrol,Petrol,1197 CC,82 bhp,Manual,5,480000
Mahindra,Bolero SLE,2010,15,380000,Diesel,Diesel,2523 CC,63 bhp,Manual,7,260000
Volkswagen,Polo 2015-2019 1.2 MPI Highline Plus,2018,7,15000,Petrol,Petrol,1199 CC,74 bhp,Manual,5,600000
Ford,Ikon 1.4 TDCi DuraTorq,2009,16,140000,Diesel,Diesel,1399 CC,68 bhp,Manual,5,140000
Maruti,Omni 8 Seater BSII,2010,15,120000,Petrol,Petrol,796 CC,35 bhp,Manual,8,130000
Maruti,Swift VDI BSIV,2007,18,112880,Diesel,Diesel,1248 CC,74 bhp,Manual,5,195000
Tata,Indica Vista TDI LS,2013,12,135000,Diesel,Diesel,1405 CC,70 bhp,Manual,5,210000
Maruti,Wagon R LX,2006,19,80000,Petrol,Petrol,998 CC,67.1 bhp,Manual,5,130000
Chevrolet,Beat LT,2012,13,128000,Petrol,Petrol,1199 CC,79.4 bhp,Manual,5,141000
Mahindra,Bolero SLE BSIII,2011,14,120000,Diesel,Diesel,2523 CC,63 bhp,Manual,7,280000
Maruti,SX4 ZXI AT Leather,2010,15,30000,Petrol,Petrol,1586 CC,103.2 bhp,Automatic,5,350000
Tata,Nexon 1.2 Revotron XM,2018,7,70000,Petrol,Petrol,1198 CC,108.5 bhp,Manual,5,575000
Hyundai,i20 Sportz Option 1.2,2015,10,41000,Petrol,Petrol,1197 CC,81.83 bhp,Manual,5,550000
Maruti,Alto LX,2006,19,30000,Petrol,Petrol,796 CC,46.3 bhp,Manual,5,120000
Maruti,Alto K10 VXI,2015,10,30000,Petrol,Petrol,998 CC,67.05 bhp,Manual,5,320000
Hyundai,Accent Executive,2011,14,35000,Petrol,Petrol,1495 CC,93.7 bhp,Manual,5,250000
Maruti,SX4 Zxi BSIII,2010,15,22000,Petrol,Petrol,1586 CC,104.68 bhp,Manual,5,300000
Maruti,Wagon R VXI,2006,19,70000,Petrol,Petrol,998 CC,67.1 bhp,Manual,5,250000
Mahindra,Bolero 2011-2019 mHAWK D70 ZLX,2018,7,70000,Diesel,Diesel,1493 CC,70 bhp,Manual,7,750000
Mahindra,Scorpio 2.6 CRDe,2005,20,200000,Diesel,Diesel,2179 CC,120 bhp,Manual,8,151000
Tata,Safari DICOR 2.2 EX 4x2,2011,14,120000,Diesel,Diesel,2179 CC,138.03 bhp,Manual,7,300000
Maruti,Ignis 1.2 Zeta BSIV,2019,6,3000,Petrol,Petrol,1197 CC,81.80 bhp,Manual,5,577000
Maruti,Alto K10 2010-2014 VXI,2012,13,50000,Petrol,Petrol,998 CC,67.1 bhp,Manual,5,229999
Mahindra,Bolero 2011-2019 ZLX,2013,12,50000,Diesel,Diesel,2523 CC,62.1 bhp,Manual,7,500000
Honda,Jazz VX CVT,2019,6,1500,Petrol,Petrol,1199 CC,88.7 bhp,Automatic,5,840000
Volkswagen,Vento 1.5 TDI Highline,2017,8,74000,Diesel,Diesel,1498 CC,108.6 bhp,Manual,5,900000
Honda,Jazz 1.2 V i VTEC,2017,8,25000,Petrol,Petrol,1199 CC,88.7 bhp,Manual,5,650000
Honda,Jazz 1.5 VX i DTEC,2016,9,61915,Diesel,Diesel,1498 CC,98.6 bhp,Manual,5,650000
Hyundai,EON Era Plus,2016,9,110000,Petrol,Petrol,814 CC,55.2 bhp,Manual,5,250000
Volkswagen,Polo 1.5 TDI Comfortline,2016,9,70000,Diesel,Diesel,1498 CC,88 bhp,Manual,5,550000
Maruti,Swift Ldi BSIII,2007,18,150000,Diesel,Diesel,1248 CC,75 bhp,Manual,5,250000
Mahindra,Quanto C4,2013,12,110000,Diesel,Diesel,1493 CC,100 bhp,Manual,7,350000
Chevrolet,Beat Diesel LT,2014,11,90000,Diesel,Diesel,936 CC,56.3 bhp,Manual,5,185000
Ford,Figo Petrol Titanium,2010,15,120000,Petrol,Petrol,1196 CC,70 bhp,Manual,5,229999
Toyota,Innova 2.5 G (Diesel) 8 Seater,2016,9,65000,Diesel,Diesel,2494 CC,100.6 bhp,Manual,8,1000000
Maruti,Wagon R VXI 1.2,2019,6,10000,Petrol,Petrol,1197 CC,81.80 bhp,Manual,5,490000
Hyundai,i10 Sportz,2009,16,80000,Petrol,Petrol,1197 CC,78.9 bhp,Manual,5,150000
Maruti,Ertiga VDI,2013,12,184000,Diesel,Diesel,1248 CC,88.76 bhp,Manual,7,600000
Maruti,Wagon R CNG LXI,2013,12,80000,CNG,Other,998 CC,58.33 bhp,Manual,5,270000
Maruti,Zen LXi - BS III,2005,20,70000,Petrol,Petrol,993 CC,60 bhp,Manual,5,60000
Maruti,SX4 Zxi with Leather BSIII,2008,17,89000,Petrol,Petrol,1586 CC,104.68 bhp,Manual,5,150000
Honda,Brio Exclusive Edition,2014,11,33033,Petrol,Petrol,1198 CC,86.8 bhp,Manual,5,335000
Maruti,Swift VDI,2013,12,69000,Diesel,Diesel,1248 CC,74 bhp,Manual,5,525000
Hyundai,Grand i10 AT Asta,2015,10,63063,Petrol,Petrol,1197 CC,82 bhp,Automatic,5,465000
Tata,Indica V2 eLX,2012,13,90000,Diesel,Diesel,1396 CC,69 bhp,Manual,5,83000
Hyundai,EON Era Plus,2017,8,8000,Petrol,Petrol,814 CC,55.2 bhp,Manual,5,300000
Hyundai,i20 1.2 Sportz,2012,13,35000,Petrol,Petrol,1197 CC,80 bhp,Manual,5,350000
Hyundai,i20 1.2 Sportz,2011,14,45000,Petrol,Petrol,1197 CC,80 bhp,Manual,5,300000
Fiat,Linea 1.3 Active,2011,14,30000,Diesel,Diesel,1248 CC,91.2 bhp,Manual,5,250000
Maruti,800 Std,2006,19,59000,Petrol,Petrol,796 CC,37 bhp,Manual,4,114999
Maruti,Ertiga VXI Petrol,2018,7,6200,Petrol,Petrol,1462 CC,103 bhp,Manual,7,700000
Maruti,Celerio X ZXI,2020,5,120000,Petrol,Petrol,998 CC,67 bhp,Manual,5,250000
Maruti,Wagon R LXI BS IV,2016,9,70000,Petrol,Petrol,998 CC,67.04 bhp,Manual,5,350000
Maruti,Omni 5 Str STD,1998,27,70000,Petrol,Petrol,796 CC,35 bhp,Manual,5,80000
Mahindra,Scorpio S2 7 Seater,2017,8,110000,Diesel,Diesel,2523 CC,75 bhp,Manual,7,850000
Chevrolet,Spark 1.0 LS,2007,18,93000,Petrol,Petrol,995 CC,62 bhp,Manual,5,90000
Chevrolet,Tavera Neo 3 10 Seats BSIII,2014,11,110000,Diesel,Diesel,2499 CC,72.4 bhp,Manual,10,600000
Maruti,Alto LX,2007,18,57000,Petrol,Petrol,796 CC,46.3 bhp,Manual,5,135000
Hyundai,Accent GLE,2005,20,120000,Petrol,Petrol,1495 CC,94 bhp,Manual,5,150000
Tata,Indigo CS eLX BS IV,2012,13,35000,Diesel,Diesel,1396 CC,69 bhp,Manual,5,259000
Tata,Indigo CS eLS BS IV,2012,13,90000,Diesel,Diesel,1396 CC,69 bhp,Manual,5,220000
Tata,Indigo eCS LX BSIV,2012,13,35000,Diesel,Diesel,1396 CC,69 bhp,Manual,5,246000
Maruti,Swift Dzire VXi,2009,16,120000,Petrol,Petrol,1298 CC,85.8 bhp,Manual,5,240000
Hyundai,Creta 1.4 E Plus,2018,7,60000,Diesel,Diesel,1396 CC,88.7 bhp,Manual,5,946000
Tata,Indigo eCS LX BSIV,2011,14,70000,Diesel,Diesel,1396 CC,69 bhp,Manual,5,215000
Maruti,Zen LX,1999,26,60000,Petrol,Petrol,993 CC,60 bhp,Manual,5,50000
Honda,Amaze S i-Dtech,2013,12,100000,Diesel,Diesel,1498 CC,98.6 bhp,Manual,5,310000
Hyundai,i10 Magna,2008,17,35000,Petrol,Petrol,1197 CC,78.9 bhp,Manual,5,220000
Maruti,Swift Vdi BSIII,2008,17,90000,Diesel,Diesel,1248 CC,75 bhp,Manual,5,195000
Hyundai,i20 Active 1.2 S,2015,10,50000,Petrol,Petrol,1197 CC,81.86 bhp,Manual,5,650000
Hyundai,i20 1.2 Magna,2011,14,98000,Petrol,Petrol,1197 CC,80 bhp,Manual,5,350000
